,price,beds,baths,area,lat,lon,yearBuilt,homeType,neighborhood,coords,line,station,stationDistance,Andersonville,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale,Belmont Cragin,Beverly,Boystown,Bridgeport,Brighton Park,Bucktown,Burnside,Calumet Heights,Chatham,Chicago Lawn,Chinatown,Clearing,Douglas,Dunning,East Village,Edgewater,Edison Park,Englewood,Fuller Park,Gage Park,Galewood,Garfield Park,Garfield Ridge,Gold Coast,Grand Boulevard,Grand Crossing,Greektown,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood,Lake View,Lincoln Park,Lincoln Square,"Little Italy, UIC",Little Village,Logan Square,Loop,Lower West Side,Magnificent Mile,Mckinley Park,Montclare,Morgan Park,Mount Greenwood,Near South Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland,Old Town,Portage Park,Printers Row,Pullman,River North,Rogers Park,Roseland,Rush & Division,"Sauganash,Forest Glen",Sheffield & DePaul,South Shore,Streeterville,Ukrainian Village,United Center,Uptown,Washington Heights,Washington Park,West Elsdon,West Lawn,West Loop,West Pullman,West Ridge,West Town,Wicker Park,Woodlawn,Wrigleyville,CONDO,MULTI_FAMILY,SINGLE_FAMILY,TOWNHOUSE
389,238500.0,3.0,2.0,1258.0,41.680289,-87.673275,1943,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,5.43252694078445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
391,259900.0,4.0,2.0,1260.0,41.678785,-87.684815,1949,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,6.133452653187246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
394,200000.0,2.0,2.0,1380.0,41.680893,-87.673993,1954,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,5.427966424632677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
397,199900.0,3.0,3.0,1600.0,41.678021,-87.671143,1890,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,5.478829945983671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
400,95000.0,4.0,2.0,969.0,41.680511,-87.671054,1967,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,5.302287549597043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
401,299000.0,3.0,2.0,1440.0,41.68062,-87.679529,1939,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,5.733237949980649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
407,229990.0,4.0,2.0,2158.0,41.677876,-87.673569,1952,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,5.614363368425508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
419,260000.0,4.0,3.0,2771.0,41.680593,-87.68533,1941,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,6.0352330213715195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
430,110000.0,3.0,2.0,1258.0,41.680399,-87.673262,1943,SINGLE_FAMILY,Morgan Park,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,5.424258516206159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
431,174500.0,4.0,2.0,1040.0,41.680172,-87.653816,1961,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.433835288996471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
433,169900.0,4.0,2.0,1241.0,41.672252,-87.624034,1948,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.478962474414183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
435,49500.0,3.0,1.0,1045.0,41.672558,-87.640879,1956,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.290071782473531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
437,45900.0,4.0,2.0,1674.0,41.679561,-87.624948,1880,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,2.9824287626909896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
438,149500.0,4.0,2.0,1000.0,41.672785,-87.657264,1969,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,5.122227678413934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
442,49900.0,2.0,1.0,935.0,41.671407,-87.627617,1947,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.6832785942089195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
445,30102.0,2.0,1.0,560.0,41.664753,-87.640615,1921,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.815164846665404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
446,27600.0,3.0,2.0,993.0,41.674992,-87.628233,1905,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.4677281335800734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
447,149900.0,3.0,2.0,1300.0,41.678896,-87.633852,1878,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.489008044083399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
448,15000.0,3.0,1.0,1320.0,41.680606,-87.64479,1905,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.936888468474991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
449,179900.0,4.0,2.0,924.0,41.677075,-87.627789,1909,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.3009931515795286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
450,43500.0,3.0,2.0,1400.0,41.677066,-87.628816,1900,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.354751841539813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
451,135990.0,5.0,2.0,1335.0,41.675479,-87.627739,1927,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.40855645491246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
452,99000.0,3.0,1.0,1155.0,41.663834,-87.631447,1951,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.404145874409301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
454,35000.0,3.0,2.0,1440.0,41.673337,-87.636604,1904,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.015096162483784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
455,40000.0,3.0,2.0,1100.0,41.670435,-87.625864,1907,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.659651984900304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
456,87591.0,3.0,1.0,1141.0,41.665966,-87.631021,1951,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.23495140524871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
457,40000.0,3.0,3.0,1464.0,41.671887,-87.637246,1895,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.148400407648939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
458,174900.0,3.0,2.0,1900.0,41.679781,-87.652,1963,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.366872042066963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
459,15000.0,4.0,2.0,1624.0,41.681297,-87.644116,1900,MULTI_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.854317748216359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
460,183500.0,3.0,3.0,2112.0,41.674652,-87.631337,1946,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.651802528161987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
463,174900.0,3.0,2.0,1250.0,41.666348,-87.633419,1950,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,4.3326805588345625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
464,175000.0,5.0,3.0,2106.0,41.671971,-87.623332,1938,SINGLE_FAMILY,West Pullman,POINT (-87.62441474538349 41.72237598330533),Red Line,95/Dan Ryan,3.5346801617036387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
